,fixture.id,fixture.date,league.round,league.season,home.id,score.home,away.id,score.away,winner,team.id,team.name,home.name,away.name,BP,BS,CK,Fouls,GkS,O,P%,PAc,RC,SI,SoffG,SonG,Soutb,TS,TP,YC,GA,GS,PK,TkT,TkB,TkI,DT,DW,DrA,DrS,DrP,FDr,PyW,PyC,PySc,PyM,PyS,RD,RF,RM
6777,94487,2019-05-02T00:30:00+00:00,2,2019,151,1.0,126,2.0,0.0,151,Goias,Goias,Sao Paulo,47.0,4.0,5.0,15.0,3.0,,83.0,315.0,,7.0,7.0,2.0,6.0,13.0,380.0,3.0,0.0,3.0,9.0,10.0,2.0,9.0,116.0,53.0,22.0,16.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,6.485714285714286,6.766666666666667,6.45
6778,94486,2019-05-02T00:30:00+00:00,2,2019,154,2.0,134,1.0,2.0,154,Fortaleza EC,Fortaleza EC,Atletico Paranaense,36.0,5.0,2.0,12.0,3.0,1.0,80.0,234.0,,7.0,8.0,5.0,11.0,18.0,291.0,3.0,2.0,3.0,15.0,9.0,1.0,12.0,96.0,57.0,8.0,7.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,6.74,7.1000000000000005,7.066666666666666
6779,94490,2019-05-02T00:30:00+00:00,2,2019,133,1.0,1062,2.0,0.0,1062,Atletico-MG,Vasco DA Gama,Atletico-MG,50.0,8.0,4.0,9.0,2.0,1.0,83.0,385.0,,5.0,2.0,4.0,9.0,14.0,466.0,,2.0,2.0,12.0,15.0,7.0,17.0,108.0,56.0,17.0,9.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,7.25,6.7,6.933333333333334
6780,94491,2019-05-05T22:00:00+00:00,3,2019,118,1.0,145,0.0,2.0,118,Bahia,Bahia,Avai,52.0,4.0,9.0,27.0,1.0,,75.0,293.0,,11.0,5.0,11.0,9.0,20.0,393.0,1.0,0.0,1.0,15.0,16.0,0.0,9.0,148.0,64.0,20.0,10.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,7.1,6.85,6.857142857142857
6781,94498,2019-05-04T22:00:00+00:00,3,2019,121,1.0,119,0.0,2.0,119,Internacional,Palmeiras,Internacional,66.0,3.0,5.0,18.0,3.0,,83.0,398.0,,4.0,5.0,2.0,6.0,10.0,478.0,5.0,0.0,3.0,10.0,18.0,4.0,10.0,136.0,67.0,20.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,7.18,6.733333333333333,6.616666666666667
6782,94492,2019-05-05T19:00:00+00:00,3,2019,120,1.0,154,0.0,2.0,120,Botafogo,Botafogo,Fortaleza EC,56.0,,7.0,10.0,3.0,,90.0,480.0,,7.0,5.0,4.0,2.0,9.0,536.0,,0.0,3.0,5.0,18.0,2.0,4.0,111.0,63.0,13.0,8.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,7.3,7.1,6.783333333333334
6783,94498,2019-05-04T22:00:00+00:00,3,2019,121,1.0,119,0.0,2.0,121,Palmeiras,Palmeiras,Internacional,34.0,3.0,4.0,15.0,2.0,,74.0,187.0,,9.0,5.0,5.0,4.0,13.0,254.0,2.0,1.0,2.0,11.0,17.0,3.0,10.0,136.0,69.0,18.0,3.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,7.220000000000001,7.4,6.7125
6784,94497,2019-05-05T22:00:00+00:00,3,2019,130,4.0,124,5.0,0.0,124,Fluminense,Gremio,Fluminense,49.0,1.0,8.0,9.0,3.0,,84.0,409.0,,13.0,4.0,12.0,4.0,17.0,489.0,1.0,1.0,3.0,11.0,14.0,1.0,9.0,105.0,51.0,21.0,9.0,12.0,8.0,1.0,0.0,1.0,0.0,0.0,6.459999999999999,7.275,6.6
6785,94499,2019-05-05T19:00:00+00:00,3,2019,126,1.0,127,1.0,1.0,126,Sao Paulo,Sao Paulo,Flamengo,64.0,6.0,6.0,16.0,,,88.0,401.0,,10.0,5.0,11.0,12.0,22.0,457.0,1.0,0.0,0.0,16.0,9.0,4.0,3.0,104.0,54.0,22.0,10.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,6.68,6.866666666666667,7.233333333333333
6786,94499,2019-05-05T19:00:00+00:00,3,2019,126,1.0,127,1.0,1.0,127,Flamengo,Sao Paulo,Flamengo,36.0,4.0,2.0,15.0,10.0,2.0,72.0,186.0,,6.0,4.0,1.0,3.0,9.0,260.0,7.0,1.0,10.0,8.0,12.0,6.0,2.0,104.0,50.0,12.0,7.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333,6.4,6.766666666666667
6787,94496,2019-05-05T19:00:00+00:00,3,2019,150,0.0,128,0.0,1.0,128,Santos,CSA,Santos,72.0,2.0,12.0,13.0,3.0,1.0,86.0,539.0,,11.0,8.0,7.0,6.0,17.0,630.0,4.0,0.0,3.0,12.0,9.0,1.0,4.0,110.0,51.0,28.0,14.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,7.116666666666667,6.7,6.916666666666667
6788,94493,2019-05-05T00:00:00+00:00,3,2019,129,1.0,1062,2.0,0.0,129,Ceara,Ceara,Atletico-MG,46.0,3.0,6.0,12.0,4.0,1.0,84.0,372.0,,5.0,3.0,3.0,4.0,9.0,442.0,,1.0,4.0,5.0,8.0,2.0,9.0,68.0,33.0,5.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,6.55,6.8,6.7625
6789,94497,2019-05-05T22:00:00+00:00,3,2019,130,4.0,124,5.0,0.0,130,Gremio,Gremio,Fluminense,51.0,2.0,8.0,8.0,7.0,,86.0,454.0,,10.0,4.0,7.0,3.0,13.0,528.0,2.0,4.0,7.0,11.0,9.0,1.0,13.0,105.0,54.0,21.0,12.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,6.15,7.3,6.7625
6790,94500,2019-05-04T22:00:00+00:00,3,2019,133,1.0,131,1.0,1.0,131,Corinthians,Vasco DA Gama,Corinthians,54.0,2.0,2.0,8.0,3.0,,85.0,350.0,,6.0,7.0,2.0,5.0,11.0,412.0,1.0,0.0,3.0,8.0,8.0,4.0,9.0,101.0,59.0,19.0,11.0,10.0,20.0,0.0,1.0,0.0,0.0,0.0,6.8,6.6,6.75
6791,94494,2019-05-05T14:00:00+00:00,3,2019,132,1.0,134,1.0,1.0,132,Chapecoense-SC,Chapecoense-SC,Atletico Paranaense,0.0,,,,,,0.0,,,1.0,,1.0,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.283333333333334,6.65,6.425000000000001
6792,94500,2019-05-04T22:00:00+00:00,3,2019,133,1.0,131,1.0,1.0,133,Vasco DA Gama,Vasco DA Gama,Corinthians,46.0,4.0,8.0,21.0,1.0,,82.0,280.0,,9.0,5.0,4.0,4.0,13.0,342.0,2.0,0.0,1.0,8.0,13.0,2.0,12.0,101.0,42.0,14.0,10.0,11.0,8.0,1.0,0.0,1.0,0.0,0.0,6.6,7.0,6.755555555555556
6793,94494,2019-05-05T14:00:00+00:00,3,2019,132,1.0,134,1.0,1.0,134,Atletico Paranaense,Chapecoense-SC,Atletico Paranaense,100.0,,,,,,100.0,1.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.319999999999999,6.4,6.514285714285714
6794,94495,2019-05-05T19:00:00+00:00,3,2019,135,2.0,151,1.0,2.0,135,Cruzeiro,Cruzeiro,Goias,60.0,5.0,5.0,14.0,3.0,1.0,87.0,450.0,,9.0,10.0,5.0,11.0,20.0,515.0,1.0,2.0,3.0,13.0,10.0,3.0,5.0,102.0,51.0,19.0,10.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,7.159999999999999,7.0,6.9
6795,94491,2019-05-05T22:00:00+00:00,3,2019,118,1.0,145,0.0,2.0,145,Avai,Bahia,Avai,48.0,1.0,1.0,15.0,10.0,1.0,76.0,279.0,,5.0,7.0,1.0,4.0,9.0,367.0,2.0,0.0,10.0,6.0,10.0,4.0,17.0,148.0,84.0,9.0,7.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,7.3,6.7,6.683333333333334
6796,94496,2019-05-05T19:00:00+00:00,3,2019,150,0.0,128,0.0,1.0,150,CSA,CSA,Santos,28.0,1.0,2.0,11.0,7.0,1.0,68.0,170.0,,5.0,6.0,3.0,5.0,10.0,249.0,1.0,0.0,7.0,9.0,16.0,2.0,8.0,110.0,59.0,11.0,10.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,7.25,6.5,6.883333333333333
6797,94495,2019-05-05T19:00:00+00:00,3,2019,135,2.0,151,1.0,2.0,151,Goias,Cruzeiro,Goias,40.0,3.0,4.0,10.0,4.0,1.0,81.0,268.0,1.0,8.0,6.0,4.0,5.0,13.0,332.0,3.0,0.0,4.0,9.0,7.0,4.0,17.0,102.0,51.0,15.0,11.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,6.92,6.466666666666666,6.8
6798,94492,2019-05-05T19:00:00+00:00,3,2019,120,1.0,154,0.0,2.0,154,Fortaleza EC,Botafogo,Fortaleza EC,44.0,2.0,4.0,16.0,3.0,1.0,88.0,359.0,,4.0,9.0,3.0,10.0,14.0,406.0,2.0,0.0,3.0,12.0,10.0,0.0,13.0,111.0,48.0,27.0,12.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,6.883333333333333,6.55,6.666666666666667
6799,94493,2019-05-05T00:00:00+00:00,3,2019,129,1.0,1062,2.0,0.0,1062,Atletico-MG,Ceara,Atletico-MG,54.0,2.0,4.0,7.0,2.0,1.0,87.0,462.0,,5.0,6.0,6.0,9.0,14.0,531.0,1.0,2.0,2.0,9.0,6.0,3.0,7.0,68.0,35.0,9.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.925,6.65,6.95
6800,94501,2019-05-12T22:00:00+00:00,4,2019,134,1.0,118,0.0,2.0,118,Bahia,Atletico Paranaense,Bahia,38.0,4.0,6.0,14.0,8.0,2.0,80.0,247.0,,10.0,5.0,4.0,3.0,13.0,310.0,3.0,0.0,8.0,11.0,12.0,4.0,7.0,105.0,59.0,9.0,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,7.140000000000001,7.050000000000001,6.714285714285714
